comenzamos a tomar los modelos
tuner007/pegasus_summarizer pipeline_extracted
                    model_name             methods  ROUGE1-Precision  ROUGE1-Recall  ROUGE1-F1  ROUGE2-Precision  ROUGE2-Recall  ROUGE2-F1  ROUGEL-Precision  ROUGEL-Recall  ROUGEL-F1  BLEU    METEOR  Cosine Similarity  BERTScore
0  tuner007/pegasus_summarizer            original          0.102676       0.415400   0.161314          0.013515       0.055887   0.021244          0.062790       0.254133   0.098791   1.0  0.058366           0.559774        1.0
1  tuner007/pegasus_summarizer  original_extracted          0.095356       0.397052   0.151399          0.010378       0.041241   0.016370          0.060608       0.248156   0.096035   1.0  0.054830           0.450516        1.0
2  tuner007/pegasus_summarizer            pipeline          0.109029       0.476834   0.174347          0.015779       0.071433   0.025486          0.062060       0.276571   0.099680   1.0  0.062347           0.568005        1.0
3  tuner007/pegasus_summarizer  pipeline_extracted          0.107997       0.454952   0.171722          0.016082       0.066595   0.025495          0.066466       0.273755   0.105261   1.0  0.059170           0.586530        1.0
facebook/bart-large-cnn pipeline_extracted
                    model_name             methods  ROUGE1-Precision  ROUGE1-Recall  ROUGE1-F1  ROUGE2-Precision  ROUGE2-Recall  ROUGE2-F1  ROUGEL-Precision  ROUGEL-Recall  ROUGEL-F1  BLEU    METEOR  Cosine Similarity  BERTScore
0      facebook/bart-large-cnn            original          0.118413       0.475824   0.186129          0.019746       0.080439   0.031146          0.070204       0.283577   0.110533   1.0  0.065500           0.653138        1.0
1      facebook/bart-large-cnn  original_extracted          0.107091       0.457619   0.170720          0.013288       0.055797   0.021202          0.063584       0.275933   0.101603   1.0  0.057898           0.593254        1.0
2      facebook/bart-large-cnn            pipeline          0.125656       0.526213   0.198929          0.022496       0.093638   0.035552          0.076140       0.319141   0.120514   1.0  0.070535           0.678093        1.0
3      facebook/bart-large-cnn  pipeline_extracted          0.101885       0.449021   0.163111          0.011542       0.050839   0.018516          0.058499       0.264897   0.094140   1.0  0.058963           0.576822        1.0
4  tuner007/pegasus_summarizer            original          0.102676       0.415400   0.161314          0.013515       0.055887   0.021244          0.062790       0.254133   0.098791   1.0  0.058366           0.559774        1.0
5  tuner007/pegasus_summarizer  original_extracted          0.095356       0.397052   0.151399          0.010378       0.041241   0.016370          0.060608       0.248156   0.096035   1.0  0.054830           0.450516        1.0
6  tuner007/pegasus_summarizer            pipeline          0.109029       0.476834   0.174347          0.015779       0.071433   0.025486          0.062060       0.276571   0.099680   1.0  0.062347           0.568005        1.0
7  tuner007/pegasus_summarizer  pipeline_extracted          0.107997       0.454952   0.171722          0.016082       0.066595   0.025495          0.066466       0.273755   0.105261   1.0  0.059170           0.586530        1.0
