['google-t5/t5-base', 'tuner007/pegasus_summarizer', 'facebook/bart-large-cnn', 'microsoft/prophetnet-large-uncased']
comenzamos a tomar los modelos
google-t5/t5-base
google-t5/t5-base pipeline_extracted
          model_name             methods  ROUGE1-Precision  ROUGE1-Recall  ROUGE1-F1  ROUGE2-Precision  ROUGE2-Recall  ROUGE2-F1  ROUGEL-Precision  ROUGEL-Recall  ROUGEL-F1  BLEU    METEOR  Cosine Similarity  BERTScore
0  google-t5/t5-base            original          0.088107       0.448018   0.144987          0.013083       0.065321   0.021451          0.056863       0.296062   0.093785   1.0  0.051010           0.520186        1.0
1  google-t5/t5-base  original_extracted          0.073200       0.360820   0.120104          0.006507       0.027869   0.010460          0.046996       0.234220   0.077203   1.0  0.042757           0.399782        1.0
2  google-t5/t5-base            pipeline          0.086093       0.478556   0.143703          0.009279       0.054718   0.015688          0.048337       0.275212   0.080957   1.0  0.045589           0.449759        1.0
3  google-t5/t5-base  pipeline_extracted          0.084826       0.439589   0.139697          0.009264       0.048768   0.015377          0.049249       0.264020   0.081688   1.0  0.048139           0.444705        1.0
tuner007/pegasus_summarizer
tuner007/pegasus_summarizer pipeline_extracted
                    model_name             methods  ROUGE1-Precision  ROUGE1-Recall  ROUGE1-F1  ROUGE2-Precision  ROUGE2-Recall  ROUGE2-F1  ROUGEL-Precision  ROUGEL-Recall  ROUGEL-F1  BLEU    METEOR  Cosine Similarity  BERTScore
0            google-t5/t5-base            original          0.088107       0.448018   0.144987          0.013083       0.065321   0.021451          0.056863       0.296062   0.093785   1.0  0.051010           0.520186        1.0
1            google-t5/t5-base  original_extracted          0.073200       0.360820   0.120104          0.006507       0.027869   0.010460          0.046996       0.234220   0.077203   1.0  0.042757           0.399782        1.0
2            google-t5/t5-base            pipeline          0.086093       0.478556   0.143703          0.009279       0.054718   0.015688          0.048337       0.275212   0.080957   1.0  0.045589           0.449759        1.0
3            google-t5/t5-base  pipeline_extracted          0.084826       0.439589   0.139697          0.009264       0.048768   0.015377          0.049249       0.264020   0.081688   1.0  0.048139           0.444705        1.0
4  tuner007/pegasus_summarizer            original          0.102676       0.415400   0.161314          0.013515       0.055887   0.021244          0.062790       0.254133   0.098791   1.0  0.058366           0.559774        1.0
5  tuner007/pegasus_summarizer  original_extracted          0.095356       0.397052   0.151399          0.010378       0.041241   0.016370          0.060608       0.248156   0.096035   1.0  0.054830           0.450516        1.0
